,Unnamed: 0,DATE,GDP
0,0.0,1947-01-01,243.164
1,1.0,1947-04-01,245.968
2,2.0,1947-07-01,249.585
3,3.0,1947-10-01,259.745
4,4.0,1948-01-01,265.742
5,5.0,1948-04-01,272.567
6,6.0,1948-07-01,279.196
7,7.0,1948-10-01,280.366
8,8.0,1949-01-01,275.034
9,9.0,1949-04-01,271.351
10,10.0,1949-07-01,272.889
11,11.0,1949-10-01,270.627
12,12.0,1950-01-01,280.828
13,13.0,1950-04-01,290.383
14,14.0,1950-07-01,308.153
15,15.0,1950-10-01,319.945
16,16.0,1951-01-01,336.0
17,17.0,1951-04-01,344.09
18,18.0,1951-07-01,351.385
19,19.0,1951-10-01,356.178
20,20.0,1952-01-01,359.82
21,21.0,1952-04-01,361.03
22,22.0,1952-07-01,367.701
23,23.0,1952-10-01,380.812
24,24.0,1953-01-01,387.98
25,25.0,1953-04-01,391.749
26,26.0,1953-07-01,391.171
27,27.0,1953-10-01,385.97
28,28.0,1954-01-01,385.345
29,29.0,1954-04-01,386.121
30,30.0,1954-07-01,390.996
31,31.0,1954-10-01,399.734
32,32.0,1955-01-01,413.073
33,33.0,1955-04-01,421.532
34,34.0,1955-07-01,430.221
35,35.0,1955-10-01,437.092
36,36.0,1956-01-01,439.746
37,37.0,1956-04-01,446.01
38,38.0,1956-07-01,451.191
39,39.0,1956-10-01,460.463
40,40.0,1957-01-01,469.779
41,41.0,1957-04-01,472.025
42,42.0,1957-07-01,479.49
43,43.0,1957-10-01,474.864
44,44.0,1958-01-01,467.54
45,45.0,1958-04-01,471.978
46,46.0,1958-07-01,485.841
47,47.0,1958-10-01,499.555
48,48.0,1959-01-01,510.33
49,49.0,1959-04-01,522.653
50,50.0,1959-07-01,525.034
51,51.0,1959-10-01,528.6
52,52.0,1960-01-01,542.648
53,53.0,1960-04-01,541.08
54,54.0,1960-07-01,545.604
55,55.0,1960-10-01,540.197
56,56.0,1961-01-01,545.018
57,57.0,1961-04-01,555.545
58,58.0,1961-07-01,567.664
59,59.0,1961-10-01,580.612
60,60.0,1962-01-01,594.013
61,61.0,1962-04-01,600.366
