,DATE,GDP,growth_rate,year,month,jobs,growth_jobs
0,1947-01-01,243.164,,1947,1,43535,
1,1947-04-01,245.968,1.1531312200819155,1947,4,43499,-0.08269208682669671
2,1947-07-01,249.585,1.4705164899499135,1947,7,43743,0.5609324352283895
3,1947-10-01,259.745,4.070757457379237,1947,10,44411,1.5271014790938064
4,1948-01-01,265.742,2.3088028643477365,1948,1,44679,0.6034540992096549
5,1948-04-01,272.567,2.568280512677701,1948,4,44379,-0.6714563889075431
6,1948-07-01,279.196,2.432062575440175,1948,7,45160,1.7598413664120516
7,1948-10-01,280.366,0.41906044499202544,1948,10,45245,0.1882196634189537
8,1949-01-01,275.034,-1.901799790274139,1949,1,44668,-1.2752790363576127
9,1949-04-01,271.351,-1.3391071649323294,1949,4,44236,-0.9671353093937518
10,1949-07-01,272.889,0.5667935625813136,1949,7,43531,-1.5937245682249745
11,1949-10-01,270.627,-0.8289084572848271,1949,10,42942,-1.3530587397486804
12,1950-01-01,280.828,3.769394775835355,1950,1,43526,1.3599739183084214
13,1950-04-01,290.383,3.402438503283145,1950,4,44382,1.9666406285897997
14,1950-07-01,308.153,6.119504240950757,1950,7,45454,2.415393628047413
15,1950-10-01,319.945,3.826670517567554,1950,10,46706,2.7544330531966477
16,1951-01-01,336.0,5.018049977339856,1951,1,47288,1.2460925791119015
17,1951-04-01,344.09,2.407738095238088,1951,4,47861,1.2117239045846828
18,1951-07-01,351.385,2.1200848615188006,1951,7,48061,0.4178767681410678
19,1951-10-01,356.178,1.3640309062709077,1951,10,48006,-0.11443790183308655
20,1952-01-01,359.82,1.0225224466418492,1952,1,48296,0.6040911552722683
21,1952-04-01,361.03,0.3362792507364709,1952,4,48620,0.6708630114295122
22,1952-07-01,367.701,1.8477688834723116,1952,7,48143,-0.9810777457836317
23,1952-10-01,380.812,3.565668845067038,1952,10,49597,3.0201690796169745
24,1953-01-01,387.98,1.8822936252008926,1953,1,50144,1.1028892876585372
25,1953-04-01,391.749,0.9714418268983005,1953,4,50435,0.5803286534779906
26,1953-07-01,391.171,-0.1475434525678554,1953,7,50536,0.2002577575096698
27,1953-10-01,385.97,-1.3295975417400463,1953,10,50240,-0.5857210701282201
28,1954-01-01,385.345,-0.1619296836541717,1954,1,49469,-1.5346337579617786
29,1954-04-01,386.121,0.20137798596062684,1954,4,49179,-0.5862257171157736
30,1954-07-01,390.996,1.262557592050162,1954,7,48835,-0.6994855527765909
31,1954-10-01,399.734,2.2348054711557097,1954,10,48942,0.2191051499948804
32,1955-01-01,413.073,3.3369690844411437,1955,1,49496,1.1319521065751292
33,1955-04-01,421.532,2.0478220556657156,1955,4,50248,1.5193146920963407
34,1955-07-01,430.221,2.061290720514708,1955,7,50987,1.4707053017035454
35,1955-10-01,437.092,1.5970861487468069,1955,10,51429,0.866887638025382
36,1956-01-01,439.746,0.6071948239729785,1956,1,51975,1.0616578195181692
37,1956-04-01,446.01,1.4244586647746749,1956,4,52375,0.7696007696007756
38,1956-07-01,451.191,1.1616331472388497,1956,7,51955,-0.8019093078758921
39,1956-10-01,460.463,2.0550055298088843,1956,10,52777,1.5821383889904617
40,1957-01-01,469.779,2.0231810156299046,1957,1,52887,0.20842412414499023
41,1957-04-01,472.025,0.4780971478077989,1957,4,53238,0.6636791650121987
42,1957-07-01,479.49,1.5814840315661272,1957,7,53123,-0.21601111987678
43,1957-10-01,474.864,-0.9647750735156224,1957,10,52763,-0.677672571202681
44,1958-01-01,467.54,-1.5423363320866468,1958,1,52076,-1.302048784185883
45,1958-04-01,471.978,0.9492235958420636,1958,4,51027,-2.01436362239803
46,1958-07-01,485.841,2.9372131751903785,1958,7,51039,0.02351696160856065
47,1958-10-01,499.555,2.8227341866989386,1958,10,51485,0.8738415721311066
48,1959-01-01,510.33,2.156919658496048,1959,1,52478,1.9287171020685667
49,1959-04-01,522.653,2.414712049066292,1959,4,53321,1.6063874385456867
50,1959-07-01,525.034,0.45556038136200794,1959,7,53804,0.9058344742221669
51,1959-10-01,528.6,0.6791941093338805,1959,10,53358,-0.8289346516987539
52,1960-01-01,542.648,2.6575860764282977,1960,1,54274,1.716706023464143
53,1960-04-01,541.08,-0.2889534283734507,1960,4,54813,0.9931090393190178
54,1960-07-01,545.604,0.836105566644485,1960,7,54306,-0.9249630562092936
55,1960-10-01,540.197,-0.9910117961012044,1960,10,54142,-0.3019924133613183
56,1961-01-01,545.018,0.8924521979944311,1961,1,53683,-0.8477706771083393
57,1961-04-01,555.545,1.931495840504338,1961,4,53627,-0.10431607771548279
58,1961-07-01,567.664,2.1814614477675187,1961,7,54123,0.9249072295671956
59,1961-10-01,580.612,2.2809267453986815,1961,10,54522,0.7372096890416291
60,1962-01-01,594.013,2.3080818171171247,1962,1,54891,0.6767910201386673
61,1962-04-01,600.366,1.0695052128488758,1962,4,55602,1.2952943105427162
