Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1947,43535,43557,43607,43499,43638,43810,43743,43960,44203,44411,44484,44581
1948,44679,44533,44683,44379,44796,45034,45160,45178,45294,45245,45192,45032
1949,44668,44497,44240,44236,43984,43739,43531,43624,43780,42942,43242,43522
1950,43526,43297,43954,44382,44718,45083,45454,46192,46438,46706,46776,46861
1951,47288,47577,47873,47861,47952,48064,48061,48012,47954,48006,48147,48314
1952,48296,48522,48504,48620,48642,48282,48143,48924,49320,49597,49816,50166
1953,50144,50339,50473,50435,50490,50519,50536,50489,50368,50240,49908,49703
1954,49469,49382,49157,49179,48965,48895,48835,48826,48886,48942,49180,49331
1955,49496,49644,49962,50248,50512,50790,50987,51111,51266,51429,51592,51805
1956,51975,52167,52294,52375,52506,52586,51955,52631,52604,52777,52821,52929
1957,52887,53097,53156,53238,53150,53067,53123,53128,52934,52763,52558,52384
1958,52076,51576,51299,51027,50914,50914,51039,51233,51506,51485,51944,52085
1959,52478,52688,53014,53321,53550,53681,53804,53336,53428,53358,53634,54174
1960,54274,54513,54454,54813,54475,54348,54306,54272,54227,54142,53961,53742
1961,53683,53557,53659,53627,53786,53977,54123,54298,54388,54522,54742,54872
1962,54891,55188,55275,55602,55628,55644,55746,55838,55978,56041,56056,56028
1963,56115,56230,56320,56580,56616,56659,56794,56910,57078,57283,57255,57361
1964,57487,57753,57897,57922,58089,58219,58412,58619,58903,58793,59218,59421
1965,59582,59800,60003,60259,60491,60690,60965,61228,61490,61719,61996,62322
1966,62529,62796,63192,63437,63712,64111,64301,64507,64643,64854,65019,65199
1967,65407,65429,65530,65466,65620,65750,65888,66143,66164,66225,66703,66900
1968,66804,67215,67295,67556,67652,67905,68126,68330,68484,68721,68984,69248
1969,69439,69699,69905,70072,70328,70636,70729,71008,70914,71121,71086,71241
1970,71176,71305,71451,71348,71124,71029,71053,70937,70944,70521,70409,70792
1971,70865,70807,70860,71036,71247,71254,71315,71373,71614,71642,71847,72109
1972,72441,72648,72944,73162,73469,73758,73709,74141,74264,74674,74973,75268
1973,75617,76014,76284,76455,76648,76887,76913,77168,77276,77607,77920,78031
1974,78100,78254,78296,78382,78549,78604,78636,78619,78610,78630,78265,77652
1975,77293,76918,76648,76460,76624,76521,76770,77153,77228,77540,77685,78017
1976,78503,78816,79048,79292,79312,79376,79547,79704,79892,79911,80240,80448
1977,80690,80988,81391,81728,82088,82488,82834,83075,83532,83800,84173,84410
1978,84594,84948,85460,86162,86509,86950,87204,87483,87621,87956,88391,88671
1979,88808,89055,89479,89417,89789,90108,90217,90300,90327,90481,90573,90672
1980,90800,90883,90994,90849,90420,90101,89840,90099,90213,90490,90747,90943
1981,91033,91105,91210,91283,91296,91490,91601,91565,91477,91380,91171,90895
1982,90565,90563,90434,90150,90107,89865,89521,89363,89183,88907,88786,88771
1983,88990,88917,89090,89364,89644,90021,90437,90129,91247,91520,91875,92230
1984,92673,93157,93429,93792,94098,94479,94789,95032,95344,95629,95982,96107
1985,96372,96503,96842,97038,97312,97459,97648,97840,98045,98233,98443,98609
1986,98732,98847,98934,99121,99248,99155,99473,99588,99934,100121,100308,100509
1987,100678,100919,101164,101499,101728,101900,102247,102420,102647,103138,103372,103661
1988,103753,104214,104489,104732,104962,105326,105550,105674,106013,106276,106617,106898
1989,107161,107427,107621,107791,107913,108027,108069,108120,108369,108476,108752,108836
1990,109199,109435,109644,109686,109839,109856,109824,109616,109518,109367,109214,109166
1991,109055,108734,108574,108364,108249,108334,108292,108310,108336,108357,108296,108328
1992,108369,108311,108365,108519,108649,108715,108793,108925,108959,109139,109272,109495
1993,109794,110044,109994,110296,110568,110749,111055,111206,111448,111733,111984,112314
1994,112595,112781,113242,113586,113921,114238,114610,114896,115247,115458,115869,116165
1995,116501,116697,116907,117069,117049,117286,117380,117634,117875,118031,118175,118320
1996,118316,118739,118993,119158,119486,119769,120015,120199,120410,120665,120961,121143
1997,121363,121675,121990,122286,122546,122814,123111,123093,123585,123929,124235,124549
1998,124812,125016,125164,125442,125844,126076,126205,126544,126752,126954,127231,127596
1999,127702,128120,128227,128597,128808,129089,129414,129569,129772,130177,130466,130772
2000,131005,131124,131596,131888,132105,132061,132236,132230,132353,132351,132556,132709
2001,132698,132789,132747,132463,132410,132299,132177,132028,131771,131454,131142,130982
2002,130852,130736,130717,130623,130634,130684,130590,130587,130501,130628,130615,130472
2003,130580,130444,130232,130177,130196,130194,130191,130149,130254,130454,130474,130588
2004,130769,130825,131142,131411,131694,131793,131848,131937,132093,132447,132503,132624
2005,132774,133032,133156,133518,133690,133942,134296,134498,134566,134655,134993,135149
2006,135429,135737,136047,136205,136244,136325,136520,136694,136843,136852,137063,137249
2007,137477,137558,137793,137842,137993,138069,138038,138015,138095,138174,138284,138392
2008,138403,138324,138275,138035,137858,137687,137491,137213,136753,136272,135545,134839
2009,134055,133312,132512,131817,131475,131008,130668,130485,130244,130045,130057,129788
2010,129790,129698,129879,130110,130650,130511,130427,130422,130357,130625,130750,130822
2011,130841,131053,131288,131602,131703,131939,131999,132125,132358,132562,132694,132896
2012,133250,133512,133752,133834,133934,134007,134159,134331,134518,134677,134833,135072
2013,135263,135541,135680,135871,136093,136274,136386,136628,136815,137040,137304,137373
2014,137548,137714,137968,138293,138511,138837,139069,139257,139566,139818,140109,140377
2015,140568,140839,140910,141194,141525,141699,142001,142126,142281,142587,142824,143097
2016,143205,143417,143654,143851,143892,144150,144521,144664,144953,145071,145201,145415
2017,145612,145795,145934,146154,146295,146506,146734,146924,146966,147215,147411,147590
2018,147671,148049,148244,148397,148667,148881,149030,149259,149364,149576,149668,149908
2019,150145,150095,150263,150482,150545,150720,150913,151108,151329,151524,151758,151919
2020,152234,152523,150840,130161,132994,137840,139566,141149,141865,142545,142809,142582
2021,142631, , , , , , , , , , , 
